Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0	0.0952381	0.0	0.0	0.0	0.0	0.0	0.0	0.0090909	0.0	0.0	0.0	0.0044743	0.0015	0.0	0.0	0.0014306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986	0.0097087	0.0584416	0.0416667	0.0769231	0.0434783	0.023622	0.0	0.0	0.0062112	0.0151515	0.0208333	0.0227273	0.0	0.05
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165975	0.0028409	0.0	0.0	0.0018762	0.0	0.0085837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0869565	0.0	0.0	0.0909091	0.0	0.1
Snow/Ross's Goose (<em class="sci">Anser caerulescens/rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028409	0.0022371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0248447	0.0	0.0	0.0	0.0	0.0
Graylag Goose (<em class="sci">Anser anser</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041494	0.0	0.0	0.0	0.0018762	0.0030181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0084746	0.0	0.0	0.0	0.0104167	0.0192308	0.0096618	0.015748	0.0	0.0	0.0310559	0.0454545	0.0	0.0227273	0.0	0.0
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.09375	0.0895522	0.1181818	0.0755814	0.0539419	0.0454545	0.0626398	0.0301508	0.0131332	0.0352113	0.0071531	0.0032733	0.0018868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0	0.011811	0.0551724	0.0076336	0.0	0.0151515	0.0	0.0	0.0	0.0
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028409	0.0	0.0	0.0056285	0.0120724	0.0014306	0.00491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0095238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0	0.0	0.0	0.0	0.0	0.0588235	0.0625	0.0447761	0.0454545	0.0406977	0.0539419	0.0369318	0.0178971	0.0125628	0.0037523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064935	0.0208333	0.0512821	0.0338164	0.0787402	0.0275862	0.0687023	0.0372671	0.0909091	0.0833333	0.1590909	0.0810811	0.15
Canada Goose (<em class="sci">Branta canadensis</em>)	0.8	0.8571429	0.9166667	0.7586207	0.9230769	0.9411765	1.0	0.9850746	0.9545455	1.0	0.9834025	0.9857955	0.9798658	0.9648241	0.9530957	0.9537223	0.9670959	0.9378069	0.9150943	0.9530516	0.8968254	0.8461538	0.9047619	0.92	0.8431373	0.8421053	0.8857143	0.9047619	0.8086957	0.75	0.6504854	0.65625	0.8474576	0.9589041	0.9514563	0.8896104	0.96875	0.9615385	0.9323671	0.9133858	0.9655172	0.9694656	0.9689441	0.9621212	0.7916667	0.9318182	0.8378378	0.95
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0149254	0.0090909	0.0116279	0.0	0.0056818	0.0	0.0025126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0048309	0.0015	0.0	0.0	0.0062112	0.0	0.0416667	0.0227273	0.0	0.0
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041494	0.0028409	0.0022371	0.0015	0.0018762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trumpeter Swan (<em class="sci">Cygnus buccinator</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0181818	0.0116279	0.0041494	0.0085227	0.0	0.0	0.0093809	0.0020121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144928	0.0	0.0	0.0076336	0.0	0.0075758	0.0	0.0	0.0	0.0
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0416667	0.0	0.0	0.0588235	0.015625	0.0	0.0272727	0.0290698	0.0414938	0.0255682	0.0201342	0.0	0.0	0.0	0.0	0.0016367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.1594203	0.1299213	0.0068966	0.0076336	0.0124224	0.0757576	0.0625	0.0909091	0.0540541	0.05
Trumpeter/Tundra Swan (<em class="sci">Cygnus buccinator/columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0181818	0.0	0.0	0.0028409	0.0	0.0050251	0.0037523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003937	0.0	0.0015	0.0062112	0.0151515	0.0	0.0	0.0	0.0
swan sp. (<em class="sci">Cygnus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028409	0.0	0.0	0.0	0.001006	0.0	0.0016367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0064103	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
goose sp. (<em class="sci">Anatidae (goose sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.0	0.0	0.0	0.0041494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.046875	0.0298507	0.0363636	0.122093	0.1991701	0.2642045	0.4675615	0.4648241	0.3789869	0.4185111	0.3991416	0.492635	0.5396226	0.4929577	0.5873016	0.4102564	0.5952381	0.5	0.5686275	0.6140351	0.5142857	0.552381	0.6434783	0.6428571	0.7087379	0.66875	0.6186441	0.7671233	0.7184466	0.7077922	0.6354167	0.5064103	0.2270531	0.1771654	0.1172414	0.0458015	0.0062112	0.0075758	0.0208333	0.0	0.0	0.0
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090909	0.0697674	0.2406639	0.5284091	0.8210291	0.9020101	0.8949343	0.9144869	0.8798283	0.7250409	0.7584906	0.7230047	0.5952381	0.3717949	0.2619048	0.26	0.1960784	0.122807	0.2714286	0.2285714	0.2956522	0.2857143	0.3398058	0.3875	0.4067797	0.5479452	0.5533981	0.538961	0.6041667	0.5	0.3381643	0.1732283	0.1310345	0.0076336	0.0	0.0075758	0.0	0.0	0.0	0.0
Cinnamon Teal (<em class="sci">Spatula cyanoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
