Bird,Cluster
"new world warbler sp. (<em class=""sci"">Parulidae sp.</em>)",0
"Summer Tanager (<em class=""sci"">Piranga rubra</em>)",0
"Scarlet Tanager (<em class=""sci"">Piranga olivacea</em>)",0
"Cape May Warbler (<em class=""sci"">Setophaga tigrina</em>)",0
"Western/Eastern Meadowlark (<em class=""sci"">Sturnella neglecta/magna</em>)",0
"Eastern Meadowlark (<em class=""sci"">Sturnella magna</em>)",0
"Western Meadowlark (<em class=""sci"">Sturnella neglecta</em>)",0
"Veery (<em class=""sci"">Catharus fuscescens</em>)",0
"Gray-cheeked Thrush (<em class=""sci"">Catharus minimus</em>)",0
"Catharus sp. (<em class=""sci"">Catharus sp.</em>)",0
"Wood Thrush (<em class=""sci"">Hylocichla mustelina</em>)",0
"American Pipit (<em class=""sci"">Anthus rubescens</em>)",0
"Purple Finch (<em class=""sci"">Haemorhous purpureus</em>)",0
"House/Purple Finch (<em class=""sci"">Haemorhous mexicanus/purpureus</em>)",0
"Redpoll (<em class=""sci"">Acanthis flammea</em>)",0
"Pine Siskin (<em class=""sci"">Spinus pinus</em>)",0
"finch sp. (<em class=""sci"">Fringillidae sp.</em>)",0
"Lapland Longspur (<em class=""sci"">Calcarius lapponicus</em>)",0
"Snow Bunting (<em class=""sci"">Plectrophenax nivalis</em>)",0
"Grasshopper Sparrow (<em class=""sci"">Ammodramus savannarum</em>)",0
"Clay-colored Sparrow (<em class=""sci"">Spizella pallida</em>)",0
"Lark Sparrow (<em class=""sci"">Chondestes grammacus</em>)",0
"Spizella sp./American Tree Sparrow (<em class=""sci"">Spizella/Spizelloides sp.</em>)",0
"Harris's Sparrow (<em class=""sci"">Zonotrichia querula</em>)",0
"White-crowned/White-throated Sparrow (<em class=""sci"">Zonotrichia leucophrys/albicollis</em>)",0
"Vesper Sparrow (<em class=""sci"">Pooecetes gramineus</em>)",0
"LeConte's Sparrow (<em class=""sci"">Ammospiza leconteii</em>)",0
"Nelson's Sparrow (<em class=""sci"">Ammospiza nelsoni</em>)",0
"Henslow's Sparrow (<em class=""sci"">Centronyx henslowii</em>)",0
"Spotted x Eastern Towhee (hybrid) (<em class=""sci"">Pipilo maculatus x erythrophthalmus</em>)",0
"towhee sp. (<em class=""sci"">Melozone/Pipilo sp.</em>)",0
"new world sparrow sp. (<em class=""sci"">Passerellidae sp.</em>)",0
"Yellow-headed Blackbird (<em class=""sci"">Xanthocephalus xanthocephalus</em>)",0
"Bobolink (<em class=""sci"">Dolichonyx oryzivorus</em>)",0
"wren sp. (<em class=""sci"">Troglodytidae sp.</em>)",0
"Black Tern (<em class=""sci"">Chlidonias niger</em>)",0
"bird sp. (<em class=""sci"">Aves sp.</em>)",0
"Least Tern (<em class=""sci"">Sternula antillarum</em>)",0
"Wood Duck x Hooded Merganser (hybrid) (<em class=""sci"">Aix sponsa x Lophodytes cucullatus</em>)",0
"Red-breasted Merganser (<em class=""sci"">Mergus serrator</em>)",0
"Common/Red-breasted Merganser (<em class=""sci"">Mergus merganser/serrator</em>)",0
"duck sp. (<em class=""sci"">Anatidae (duck sp.)</em>)",0
"waterfowl sp. (<em class=""sci"">Anatidae sp.</em>)",0
"Northern Bobwhite (<em class=""sci"">Colinus virginianus</em>)",0
"Gray Partridge (<em class=""sci"">Perdix perdix</em>)",0
"Ring-necked Pheasant (<em class=""sci"">Phasianus colchicus</em>)",0
"Eurasian Collared-Dove (<em class=""sci"">Streptopelia decaocto</em>)",0
"Yellow-billed Cuckoo (<em class=""sci"">Coccyzus americanus</em>)",0
"Black-billed Cuckoo (<em class=""sci"">Coccyzus erythropthalmus</em>)",0
"American Golden-Plover (<em class=""sci"">Pluvialis dominica</em>)",0
"Black-bellied Plover/golden-plover sp. (<em class=""sci"">Pluvialis sp.</em>)",0
"Whimbrel (<em class=""sci"">Numenius phaeopus</em>)",0
"Marbled Godwit (<em class=""sci"">Limosa fedoa</em>)",0
"Short-billed/Long-billed Dowitcher (<em class=""sci"">Limnodromus griseus/scolopaceus</em>)",0
"American Woodcock (<em class=""sci"">Scolopax minor</em>)",0
"Long-tailed Duck (<em class=""sci"">Clangula hyemalis</em>)",0
"White-winged Scoter (<em class=""sci"">Melanitta deglandi</em>)",0
"Surf Scoter (<em class=""sci"">Melanitta perspicillata</em>)",0
"Aythya sp. (<em class=""sci"">Aythya sp.</em>)",0
"Snow/Ross's Goose (<em class=""sci"">Anser caerulescens/rossii</em>)",0
"Graylag Goose (<em class=""sci"">Anser anser</em>)",0
"Domestic goose sp. (Domestic type) (<em class=""sci"">Anser sp. (Domestic type)</em>)",0
"Cackling/Canada Goose (<em class=""sci"">Branta hutchinsii/canadensis</em>)",0
"Mute Swan (<em class=""sci"">Cygnus olor</em>)",0
"Trumpeter Swan (<em class=""sci"">Cygnus buccinator</em>)",0
"Trumpeter/Tundra Swan (<em class=""sci"">Cygnus buccinator/columbianus</em>)",0
"swan sp. (<em class=""sci"">Cygnus sp.</em>)",0
"Red-necked Phalarope (<em class=""sci"">Phalaropus lobatus</em>)",0
"goose sp. (<em class=""sci"">Anatidae (goose sp.)</em>)",0
"Blue-winged x Cinnamon Teal (hybrid) (<em class=""sci"">Spatula discors x cyanoptera</em>)",0
"American Wigeon x Mallard (hybrid) (<em class=""sci"">Mareca americana x Anas platyrhynchos</em>)",0
"Mallard x American Black Duck (hybrid) (<em class=""sci"">Anas platyrhynchos x rubripes</em>)",0
"Mallard/American Black Duck (<em class=""sci"">Anas platyrhynchos/rubripes</em>)",0
"teal sp. (<em class=""sci"">Anatidae sp. (teal sp.)</em>)",0
"dabbling duck sp. (<em class=""sci"">Anatidae sp. (dabbling duck sp.)</em>)",0
"Greater Scaup (<em class=""sci"">Aythya marila</em>)",0
"Greater/Lesser Scaup (<em class=""sci"">Aythya marila/affinis</em>)",0
"Cinnamon Teal (<em class=""sci"">Spatula cyanoptera</em>)",0
"Willet (<em class=""sci"">Tringa semipalmata</em>)",0
"Yellow-billed/Black-billed Cuckoo (<em class=""sci"">Coccyzus americanus/erythropthalmus</em>)",0
"Franklin's Gull (<em class=""sci"">Leucophaeus pipixcan</em>)",0
"shorebird sp. (<em class=""sci"">Charadriiformes sp. (shorebird sp.)</em>)",0
"peep sp. (<em class=""sci"">Calidris sp. (peep sp.)</em>)",0
"Buff-breasted Sandpiper (<em class=""sci"">Calidris subruficollis</em>)",0
"Western/Semipalmated Sandpiper (<em class=""sci"">Calidris mauri/pusilla</em>)",0
"Sanderling (<em class=""sci"">Calidris alba</em>)",0
"Laughing Gull (<em class=""sci"">Leucophaeus atricilla</em>)",0
"Western Sandpiper (<em class=""sci"">Calidris mauri</em>)",0
"Ruff (<em class=""sci"">Calidris pugnax</em>)",0
"Glaucous Gull (<em class=""sci"">Larus hyperboreus</em>)",0
"Red Knot (<em class=""sci"">Calidris canutus</em>)",0
"Lesser Black-backed Gull (<em class=""sci"">Larus fuscus</em>)",0
"Larus sp. (<em class=""sci"">Larus sp.</em>)",0
"Calidris sp. (<em class=""sci"">Calidris sp.</em>)",0
"Lesser/Greater Yellowlegs (<em class=""sci"">Tringa flavipes/melanoleuca</em>)",0
"Tringa sp. (<em class=""sci"">Tringa sp.</em>)",0
"Warbling Vireo (<em class=""sci"">Vireo gilvus</em>)",1
"Ring-billed Gull (<em class=""sci"">Larus delawarensis</em>)",1
"Swamp Sparrow (<em class=""sci"">Melospiza georgiana</em>)",1
"Willow Flycatcher (<em class=""sci"">Empidonax traillii</em>)",1
"Mallard (<em class=""sci"">Anas platyrhynchos</em>)",2
"Canada Goose (<em class=""sci"">Branta canadensis</em>)",2
"Red-tailed Hawk (<em class=""sci"">Buteo jamaicensis</em>)",3
"Downy Woodpecker (<em class=""sci"">Dryobates pubescens</em>)",3
"Blue Jay (<em class=""sci"">Cyanocitta cristata</em>)",3
"Great Egret (<em class=""sci"">Ardea alba</em>)",4
"Redhead (<em class=""sci"">Aythya americana</em>)",4
"Wilson's Snipe (<em class=""sci"">Gallinago delicata</em>)",4
"Fox Sparrow (<em class=""sci"">Passerella iliaca</em>)",4
"White-throated Sparrow (<em class=""sci"">Zonotrichia albicollis</em>)",4
"Ruby-crowned Kinglet (<em class=""sci"">Corthylio calendula</em>)",4
"Golden-crowned Kinglet (<em class=""sci"">Regulus satrapa</em>)",4
"Canvasback (<em class=""sci"">Aythya valisineria</em>)",4
"White-crowned Sparrow (<em class=""sci"">Zonotrichia leucophrys</em>)",4
"Sora (<em class=""sci"">Porzana carolina</em>)",4
"Pectoral Sandpiper (<em class=""sci"">Calidris melanotos</em>)",4
"Ruddy Duck (<em class=""sci"">Oxyura jamaicensis</em>)",4
"Hooded Merganser (<em class=""sci"">Lophodytes cucullatus</em>)",4
"American Herring Gull (<em class=""sci"">Larus smithsonianus</em>)",4
"Short-billed Dowitcher (<em class=""sci"">Limnodromus griseus</em>)",4
"Palm Warbler (<em class=""sci"">Setophaga palmarum</em>)",4
"Rusty Blackbird (<em class=""sci"">Euphagus carolinus</em>)",4
"Eastern Phoebe (<em class=""sci"">Sayornis phoebe</em>)",4
"Bufflehead (<em class=""sci"">Bucephala albeola</em>)",5
"American Coot (<em class=""sci"">Fulica americana</em>)",5
"Northern Shoveler (<em class=""sci"">Spatula clypeata</em>)",5
"Gadwall (<em class=""sci"">Mareca strepera</em>)",5
"Green-winged Teal (<em class=""sci"">Anas crecca</em>)",5
"Common Grackle (<em class=""sci"">Quiscalus quiscula</em>)",6
"Brown-headed Cowbird (<em class=""sci"">Molothrus ater</em>)",6
"Marsh Wren (<em class=""sci"">Cistothorus palustris</em>)",6
